instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_bound_mode,beta_cut_positive_gamma,beta_cut_positive_nu,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
B_n150_030_a50_089,B,150,0.5,030,,4973.0,605.9,0.1406,,4964.0,4985,0.4213,0,7,TIERS_EXHAUSTED,742.5,4985.1783,lag,,,2,300,0,-9.0,,NA
ED_n060_023_a50_068,ED,60,0.5,023,1736.0,1736.0,603.8,0.1725,,1727.0,1738,0.6329,0,6,TIERS_EXHAUSTED,618.5,1738.8466,lag,,,1,400,0,-9.0,-9.0,GAP
C_n065_018_a50_053,C,65,0.5,018,1905.0,1905.0,601.8,0.1572,,1905.0,1906,0.0525,0,7,GAP<0.3%,662.3,1906.6132,lag,,,4,500,0,0.0,0.0,TIE
ED_n040_001_a50_002,ED,40,0.5,001,948.0,948.0,600.5,0.0000,,948.0,948,0.0000,0,1,UB,15.2,948.0000,lag,,,0,0,0,0.0,0.0,TIE
D_n060_023_a25_067,D,60,0.25,023,1263.0,1263.0,601.0,0.1581,,1263.0,1269,0.4728,0,4,TIERS_EXHAUSTED,374.0,1269.3822,lag,,,1,300,0,0.0,0.0,TIE
B_n150_030_a25_088,B,150,0.25,030,,3550.0,602.4,0.0844,,3403.0,3561,4.4370,91,8,TIERS_EXHAUSTED,822.3,3565.0000,lag,,,0,400,0,-147.0,,NA
EC_n065_018_a25_052,EC,65,0.25,018,1183.0,1183.0,600.2,0.2530,,1183.0,1184,0.0845,0,4,GAP<0.3%,370.2,1184.5439,lag,,,1,300,0,0.0,0.0,TIE
B_n130_016_a75_048,B,130,0.75,016,4216.0,4333.0,304.8,0.0231,,4331.0,4334,0.0692,1,2,GAP<0.3%,253.6,4336.2517,lag,,,0,73,0,-2.0,115.0,BEAT
D_n080_045_a75_135,D,80,0.75,045,,2952.0,327.8,0.1353,,2933.0,2953,0.6773,2,3,TIERS_EXHAUSTED,647.5,2953.0000,lag,,,0,160,0,-19.0,,NA
EB_n130_016_a50_047,EB,130,0.5,016,4096.0,4095.0,304.5,0.0244,,4094.0,4096,0.0488,0,1,GAP<0.3%,106.4,4096.0000,lag,,,0,0,0,-1.0,-2.0,GAP
D_n060_023_a75_069,D,60,0.75,023,2004.0,2015.0,314.5,0.1487,,2014.0,2016,0.0992,0,6,GAP<0.3%,664.7,2017.7084,lag,,,0,200,0,-1.0,10.0,BEAT
EB_n130_016_a75_048,EB,130,0.75,016,4308.0,4329.0,302.2,0.2305,,4328.0,4332,0.0923,0,1,GAP<0.3%,115.6,4332.0000,lag,,,0,0,0,-1.0,20.0,BEAT
EB_n150_030_a75_090,EB,150,0.75,030,,5278.0,303.9,0.1325,,5277.0,5281,0.0757,0,3,GAP<0.3%,339.9,5282.7503,lag,,,0,100,0,-1.0,,NA
C_n080_035_a75_105,C,80,0.75,035,,2934.0,301.9,0.0000,,2934.0,2934,0.0000,2,2,GAP<0.3%,231.7,2935.3738,lag,,,0,100,0,0.0,,NA
B_n100_001_a50_002,B,100,0.5,001,3025.0,3025.0,301.2,0.0330,,3025.0,3026,0.0330,0,1,GAP<0.3%,99.0,3026.0000,lag,,,0,0,0,0.0,0.0,TIE
B_n150_030_a75_090,B,150,0.75,030,,5281.0,304.0,0.0946,,5281.0,5282,0.0189,2,5,GAP<0.3%,600.4,5285.6897,lag,,,0,200,0,0.0,,NA
C_n050_001_a75_003,C,50,0.75,001,1445.0,1445.0,300.7,0.0000,,1444.0,1445,0.0692,0,1,GAP<0.3%,96.3,1445.0000,lag,,,0,0,0,-1.0,-1.0,GAP
B_n100_001_a25_001,B,100,0.25,001,2142.0,2142.0,300.6,0.0933,,2142.0,2144,0.0933,0,2,GAP<0.3%,184.6,2144.0000,lag,,,0,0,0,0.0,0.0,TIE
D_n040_001_a50_002,D,40,0.5,001,970.0,970.0,300.6,0.0000,,970.0,970,0.0000,0,1,UB,9.3,970.0000,lag,,,0,0,0,0.0,0.0,TIE
EC_n050_001_a75_003,EC,50,0.75,001,1444.0,1444.0,300.5,0.0692,,1444.0,1444,0.0000,0,1,UB,23.5,1444.0000,lag,,,0,0,0,0.0,0.0,TIE
C_n080_035_a25_103,C,80,0.25,035,,1897.0,301.6,0.2629,,1801.0,1902,5.3102,0,7,TIERS_EXHAUSTED,665.6,1909.3333,lag,,,0,500,0,-96.0,,NA
EB_n150_030_a25_088,EB,150,0.25,030,,2970.0,300.8,0.0337,,2969.0,2975,0.2017,0,5,TIERS_EXHAUSTED,505.0,2975.1194,lag,,,1,300,0,-1.0,,NA
ED_n060_023_a25_067,ED,60,0.25,023,1050.0,1050.0,300.1,0.0951,,1050.0,1050,0.0000,0,1,UB,8.7,1050.0000,lag,,,0,0,0,0.0,0.0,TIE
C_n050_001_a25_001,C,50,0.25,001,735.0,735.0,299.9,0.0000,,735.0,735,0.0000,0,1,UB,0.7,735.0000,lag,,,0,0,0,0.0,0.0,TIE
EC_n080_035_a25_103,EC,80,0.25,035,,1585.0,300.5,0.2517,,1585.0,1592,0.4397,0,4,TIERS_EXHAUSTED,372.5,1592.6358,lag,,,1,300,0,0.0,,NA
C_n065_018_a75_054,C,65,0.75,018,2146.0,2146.0,2.2,0.0000,,2146.0,2146,0.0000,0,1,UB,26.1,2146.0000,lag,,,0,0,0,0.0,0.0,TIE
EC_n065_018_a75_054,EC,65,0.75,018,2146.0,2146.0,2.2,0.0000,,2146.0,2146,0.0000,0,1,UB,20.1,2146.0000,lag,,,0,0,0,0.0,0.0,TIE
ED_n040_001_a75_003,ED,40,0.75,001,1201.0,1201.0,1.5,0.0000,,1201.0,1201,0.0000,0,1,UB,84.8,1201.0000,lag,,,0,0,0,0.0,0.0,TIE
D_n040_001_a75_003,D,40,0.75,001,1203.0,1203.0,1.1,0.0000,,1203.0,1202,-0.0832,0,1,UB,4.2,1202.0000,lag,,,0,0,0,0.0,0.0,TIE
EB_n100_001_a25_001,EB,100,0.25,001,1609.0,1609.0,300.3,0.1241,,1609.0,1610,0.0621,0,4,GAP<0.3%,371.9,1610.3884,lag,,,1,300,0,0.0,0.0,TIE
B_n100_001_a75_003,B,100,0.75,001,3119.0,3119.0,0.4,0.0000,,3119.0,3119,0.0000,1,1,GAP<0.3%,97.1,3119.0000,lag,,,0,0,0,0.0,0.0,TIE
ED_n060_023_a75_069,ED,60,0.75,023,2002.0,2002.0,66.2,0.0000,,2002.0,2002,0.0000,2,4,GAP<0.3%,482.0,2003.5783,lag,,,0,100,0,0.0,0.0,TIE
EB_n100_001_a75_003,EB,100,0.75,001,3115.0,3115.0,0.4,0.0000,,3114.0,3115,0.0321,0,1,GAP<0.3%,94.5,3115.0000,lag,,,0,0,0,-1.0,-1.0,GAP
EC_n050_001_a50_002,EC,50,0.5,001,1103.0,1103.0,0.8,0.0000,,1103.0,1104,0.0906,0,4,GAP<0.3%,362.3,1104.6152,lag,,,1,300,0,0.0,0.0,TIE
D_n040_001_a25_001,D,40,0.25,001,715.0,715.0,0.1,0.0000,,715.0,715,0.0000,0,1,UB,0.2,715.0000,lag,,,0,0,0,0.0,0.0,TIE
EC_n050_001_a25_001,EC,50,0.25,001,421.0,421.0,0.1,0.0000,,421.0,421,0.0000,0,1,UB,0.3,421.0000,lag,,,0,0,0,0.0,0.0,TIE
ED_n040_001_a25_001,ED,40,0.25,001,412.0,412.0,0.0,0.0000,,412.0,411,-0.2433,0,1,UB,0.0,411.0000,lag,,,0,0,0,0.0,0.0,TIE
C_n050_001_a50_002,C,50,0.5,001,1236.0,1236.0,0.1,0.0000,,1236.0,1237,0.0808,0,4,GAP<0.3%,362.1,1237.3749,lag,,,1,300,0,0.0,0.0,TIE
C_n065_018_a25_052,C,65,0.25,018,1386.0,1386.0,0.1,0.0000,,1386.0,1386,0.0000,0,4,GAP<0.3%,364.5,1386.3109,lag,,,1,300,0,0.0,0.0,TIE
