instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n150_030_a50_089,B,150,0.5,6,3,4965.0,4977,0.24110910186859552,1,90.58836299995892,626.8785312001128,TIERS_EXHAUSTED
C_n065_018_a50_053,C,65,0.5,1,1,1905.0,1928,1.1929460580912863,1,90.71470799995586,90.71475000004284,STALL→tier0→1 d_max=12
C_n065_018_a50_053,C,65,0.5,2,2,1905.0,1909,0.20953378732320588,1,90.70799889997579,183.7890691999346,STALL→tier1→2 d_max=17
C_n065_018_a50_053,C,65,0.5,3,2,1905.0,1906,0.05246589716684155,1,90.32003999990411,277.7068545999937,UB_TIGHT→GAP<0.3%
ED_n040_001_a50_002,ED,40,0.5,1,0,948.0,948,0.0,0,0.0,0.0,UB_PROVEN_INIT
B_n150_030_a25_088,B,150,0.25,1,1,3403.0,3561,4.436955911260882,1,90.93433910002932,90.9343781999778,STALL→tier0→1 d_max=16
B_n150_030_a25_088,B,150,0.25,2,2,3403.0,3561,4.436955911260882,1,92.01479399995878,196.65678620012477,STALL→tier1→2 d_max=21
B_n150_030_a25_088,B,150,0.25,3,0,3550.0,3561,0.3089019938219601,1,90.11641740007326,300.1535189000424,OBJ+147 tier->0
B_n150_030_a25_088,B,150,0.25,4,0,3550.0,3551,0.028161081385525203,1,93.31272279983386,393.46628910000436,UB_TIGHT→GAP<0.3%
D_n060_023_a25_067,D,60,0.25,1,1,1263.0,1278,1.1737089201877933,1,91.0908061999362,91.09085059980862,STALL→tier0→1 d_max=5
D_n060_023_a25_067,D,60,0.25,2,2,1263.0,1267,0.31570639305445936,1,91.72668319987133,186.81943009980023,STALL→tier1→2 d_max=7
D_n060_023_a25_067,D,60,0.25,3,3,1263.0,1265,0.15810276679841898,1,90.97040010010824,281.75781450001523,TIERS_EXHAUSTED
EC_n065_018_a25_052,EC,65,0.25,1,1,1183.0,1186,0.25295109612141653,1,90.46446609986015,90.46451530000195,STALL→tier0→1 d_max=5
EC_n065_018_a25_052,EC,65,0.25,2,2,1183.0,1186,0.25295109612141653,1,90.06812929990701,183.42778489994816,STALL→tier1→2 d_max=7
EC_n065_018_a25_052,EC,65,0.25,3,2,1183.0,1184,0.08445945945945946,1,90.5445232000202,276.2783342001494,UB_TIGHT→GAP<0.3%
D_n060_023_a75_069,D,60,0.75,1,1,2014.0,2016,0.0992063492063492,1,90.80019759992138,90.80023779999465,STALL→tier0→1 d_max=13
B_n130_016_a75_048,B,130,0.75,1,0,4332.0,4334,0.046146746654360866,1,97.46180659998208,97.46184649993666,OBJ+1 tier->0
EB_n130_016_a50_047,EB,130,0.5,1,1,4094.0,4096,0.048828125,1,93.65346679999493,93.65350500005297,STALL→tier0→1 d_max=22
B_n150_030_a75_090,B,150,0.75,1,1,5281.0,5282,0.01893222264293828,1,90.74803910008632,90.74809150001965,STALL→tier0→1 d_max=33
D_n080_045_a75_135,D,80,0.75,1,1,2933.0,2953,0.6772773450728073,1,90.45438899984583,90.4544488999527,STALL→tier0→1 d_max=17
D_n080_045_a75_135,D,80,0.75,2,2,2933.0,2952,0.6436314363143631,1,95.3255107998848,216.71803530002944,STALL→tier1→2 d_max=23
D_n080_045_a75_135,D,80,0.75,3,3,2933.0,2952,0.6436314363143631,1,121.18554489989765,368.5917158999946,TIERS_EXHAUSTED
EB_n150_030_a75_090,EB,150,0.75,1,1,5277.0,5281,0.07574323044877863,1,91.89643139997497,91.8964671001304,STALL→tier0→1 d_max=32
EB_n130_016_a75_048,EB,130,0.75,1,1,4328.0,4332,0.09233610341643582,1,90.09350079996511,90.09354989998974,STALL→tier0→1 d_max=29
C_n080_035_a75_105,C,80,0.75,1,0,2934.0,2934,0.0,0,0.0,0.0,UB_PROVEN_INIT
B_n100_001_a50_002,B,100,0.5,1,1,3025.0,3026,0.033046926635822864,1,90.07741350005381,90.0774606000632,STALL→tier0→1 d_max=18
C_n050_001_a75_003,C,50,0.75,1,0,1445.0,1445,0.0,1,4.784777899971232,4.784834100166336,UB_STOP
B_n100_001_a25_001,B,100,0.25,1,1,2142.0,2144,0.09328358208955223,1,91.79648580006324,91.79653900000267,STALL→tier0→1 d_max=11
D_n040_001_a50_002,D,40,0.5,1,0,970.0,970,0.0,0,0.0,0.0,UB_PROVEN_INIT
EC_n050_001_a75_003,EC,50,0.75,1,0,1444.0,1444,0.0,0,0.0,0.0,UB_PROVEN_INIT
C_n080_035_a25_103,C,80,0.25,1,1,1801.0,1902,5.310199789695059,1,90.37158189993352,90.37163009983487,STALL→tier0→1 d_max=9
C_n080_035_a25_103,C,80,0.25,2,2,1801.0,1902,5.310199789695059,1,90.29713510000147,185.1989374998957,STALL→tier1→2 d_max=12
C_n080_035_a25_103,C,80,0.25,3,3,1801.0,1902,5.310199789695059,1,90.30543720000423,280.20668209996074,TIERS_EXHAUSTED
EB_n150_030_a25_088,EB,150,0.25,1,1,2969.0,2983,0.4693261816962789,1,92.25778410001658,92.25781990005635,STALL→tier0→1 d_max=13
EB_n150_030_a25_088,EB,150,0.25,2,2,2969.0,2983,0.4693261816962789,1,90.36388730001636,196.43852990004234,STALL→tier1→2 d_max=17
EB_n150_030_a25_088,EB,150,0.25,3,3,2969.0,2977,0.26872690628149143,1,93.7892748999875,311.0813978998922,TIERS_EXHAUSTED
ED_n060_023_a25_067,ED,60,0.25,1,0,1050.0,1050,0.0,0,0.0,0.0,UB_PROVEN_INIT
C_n050_001_a25_001,C,50,0.25,1,0,735.0,735,0.0,0,0.0,0.0,UB_PROVEN_INIT
ED_n060_023_a75_069,ED,60,0.75,1,0,2002.0,2002,0.0,0,0.0,0.0,UB_PROVEN_INIT
C_n065_018_a75_054,C,65,0.75,1,0,2146.0,2146,0.0,0,0.0,0.0,UB_PROVEN_INIT
EC_n065_018_a75_054,EC,65,0.75,1,0,2146.0,2146,0.0,0,0.0,0.0,UB_PROVEN_INIT
ED_n040_001_a75_003,ED,40,0.75,1,0,1201.0,1201,0.0,0,0.0,0.0,UB_PROVEN_INIT
D_n040_001_a75_003,D,40,0.75,1,0,1203.0,1202,0.0,0,0.0,0.0,UB_PROVEN_INIT
EC_n080_035_a25_103,EC,80,0.25,1,1,1585.0,1593,0.5021971123666039,1,90.09067930001765,90.09072150010616,STALL→tier0→1 d_max=7
EC_n080_035_a25_103,EC,80,0.25,2,2,1585.0,1593,0.5021971123666039,1,91.1878784999717,184.72151649999432,STALL→tier1→2 d_max=9
EC_n080_035_a25_103,EC,80,0.25,3,3,1585.0,1592,0.4396984924623116,1,91.25070329988375,278.94638430001214,TIERS_EXHAUSTED
B_n100_001_a75_003,B,100,0.75,1,0,3119.0,3119,0.0,0,0.0,0.0,UB_PROVEN_INIT
EB_n100_001_a25_001,EB,100,0.25,1,1,1609.0,1611,0.12414649286157665,1,90.32257979991846,90.32261559995823,STALL→tier0→1 d_max=8
EB_n100_001_a25_001,EB,100,0.25,2,2,1609.0,1611,0.12414649286157665,1,90.81813799985684,186.59510709997267,STALL→tier1→2 d_max=11
EB_n100_001_a25_001,EB,100,0.25,3,3,1609.0,1611,0.12414649286157665,1,90.87094700010493,285.5604262999259,TIERS_EXHAUSTED
EB_n100_001_a75_003,EB,100,0.75,1,1,3114.0,3115,0.03210272873194221,1,90.39537490019575,90.39580430020578,STALL→tier0→1 d_max=22
EC_n050_001_a50_002,EC,50,0.5,1,1,1103.0,1107,0.36133694670280037,2,90.01258180011064,90.01261859992519,STALL→tier0→1 d_max=5
EC_n050_001_a50_002,EC,50,0.5,2,1,1103.0,1104,0.09057971014492754,1,90.04027860006317,180.9196563998703,UB_TIGHT→GAP<0.3%
D_n040_001_a25_001,D,40,0.25,1,0,715.0,715,0.0,0,0.0,0.0,UB_PROVEN_INIT
EC_n050_001_a25_001,EC,50,0.25,1,0,421.0,421,0.0,0,0.0,0.0,UB_PROVEN_INIT
ED_n040_001_a25_001,ED,40,0.25,1,0,412.0,411,0.0,0,0.0,0.0,UB_PROVEN_INIT
C_n050_001_a50_002,C,50,0.5,1,1,1236.0,1240,0.3225806451612903,1,90.22137110005133,90.22142890002578,STALL→tier0→1 d_max=7
C_n050_001_a50_002,C,50,0.5,2,1,1236.0,1236,0.0,1,90.01558090001345,180.79711519996636,UB_TIGHT→GAP<0.3%
C_n065_018_a25_052,C,65,0.25,1,1,1386.0,1390,0.28776978417266186,1,90.49990679998882,90.49994269991294,STALL→tier0→1 d_max=6
C_n065_018_a25_052,C,65,0.25,2,1,1386.0,1387,0.07209805335255948,1,91.15978919994086,184.0300344999414,UB_TIGHT→GAP<0.3%
