instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
C_n080_035_a75_105,C,80,0.75,2,0,2932.0,2934,0.0681663258350375,1,91.07541809999384,191.3245838000439,OBJ+1 tier->0
B_n100_001_a50_002,B,100,0.5,1,0,3025.0,3026,0.033046926635822864,1,90.24871740001254,90.24876370001584,OBJ+2 tier->0
B_n150_030_a75_090,B,150,0.75,1,0,5266.0,5282,0.3029155622870125,1,99.04091969993897,99.04096379992552,OBJ+2 tier->0
B_n150_030_a75_090,B,150,0.75,2,1,5266.0,5282,0.3029155622870125,1,96.0616743999999,195.10269869980402,STALL→tier0→1 d_max=31
B_n150_030_a75_090,B,150,0.75,3,0,5267.0,5282,0.28398333964407424,1,101.02121270005591,321.52651669993065,OBJ+1 tier->0
B_n150_030_a75_090,B,150,0.75,4,1,5267.0,5282,0.28398333964407424,1,99.53710180008784,421.0636701998301,STALL→tier0→1 d_max=32
B_n150_030_a75_090,B,150,0.75,5,0,5279.0,5282,0.05679666792881485,1,101.63613870018162,548.1857155999169,OBJ+12 tier->0
C_n050_001_a75_003,C,50,0.75,1,0,1444.0,1445,0.06920415224913494,1,90.34641649993137,90.34646270005032,OBJ+1 tier->0
B_n100_001_a25_001,B,100,0.25,1,0,2141.0,2144,0.13992537313432835,1,90.13296420010738,90.1330067999661,OBJ+20 tier->0
B_n100_001_a25_001,B,100,0.25,2,0,2142.0,2144,0.09328358208955223,1,93.0150377000682,183.1480979998596,OBJ+1 tier->0
D_n040_001_a50_002,D,40,0.5,1,0,970.0,970,0.0,1,3.2694141999818385,3.2694504999089986,UB_STOP
EC_n050_001_a75_003,EC,50,0.75,1,0,1444.0,1444,0.0,1,21.481742300093174,21.48178939986974,UB_STOP
C_n080_035_a25_103,C,80,0.25,1,0,1781.0,1902,6.361724500525763,1,90.57304590009153,90.57309389999136,OBJ+12 tier->0
C_n080_035_a25_103,C,80,0.25,2,1,1781.0,1902,6.361724500525763,1,90.13749049999751,180.71064740000293,STALL→tier0→1 d_max=8
C_n080_035_a25_103,C,80,0.25,3,2,1781.0,1902,6.361724500525763,1,90.10822369996458,275.4444532999769,STALL→tier1→2 d_max=11
C_n080_035_a25_103,C,80,0.25,4,0,1801.0,1902,5.310199789695059,1,90.31172749982215,371.4124924999196,OBJ+20 tier->0
C_n080_035_a25_103,C,80,0.25,5,1,1801.0,1902,5.310199789695059,1,90.29097129986621,461.70352149987593,STALL→tier0→1 d_max=9
C_n080_035_a25_103,C,80,0.25,6,2,1801.0,1902,5.310199789695059,1,90.26204329985194,556.6339957998134,STALL→tier1→2 d_max=12
C_n080_035_a25_103,C,80,0.25,7,3,1801.0,1902,5.310199789695059,1,91.00404509995133,650.6766671999358,TIERS_EXHAUSTED
EB_n150_030_a25_088,EB,150,0.25,1,0,2860.0,2983,4.123365739188737,1,90.85779869998805,90.85785859986208,OBJ+113 tier->0
EB_n150_030_a25_088,EB,150,0.25,2,0,2969.0,2983,0.4693261816962789,1,92.6023910001386,183.46031229989603,OBJ+109 tier->0
EB_n150_030_a25_088,EB,150,0.25,3,1,2969.0,2983,0.4693261816962789,1,90.11014140001498,273.57054669992067,STALL→tier0→1 d_max=13
EB_n150_030_a25_088,EB,150,0.25,4,2,2969.0,2983,0.4693261816962789,1,90.01620789989829,378.4024989998434,STALL→tier1→2 d_max=17
EB_n150_030_a25_088,EB,150,0.25,5,3,2969.0,2975,0.20168067226890757,1,93.27179979998618,485.4200591999106,TIERS_EXHAUSTED
ED_n060_023_a25_067,ED,60,0.25,1,0,1050.0,1050,0.0,1,8.233374200062826,8.233415300026536,UB_STOP
C_n050_001_a25_001,C,50,0.25,1,0,735.0,735,0.0,1,0.5390254000667483,0.539074799977243,UB_STOP
EC_n080_035_a25_103,EC,80,0.25,1,0,1585.0,1593,0.5021971123666039,1,90.16625289991498,90.16629429999739,OBJ+1 tier->0
EC_n080_035_a25_103,EC,80,0.25,2,1,1585.0,1593,0.5021971123666039,1,90.13861720007844,180.30495829996653,STALL→tier0→1 d_max=7
EC_n080_035_a25_103,EC,80,0.25,3,2,1585.0,1593,0.5021971123666039,1,90.39165629982017,273.63834779988974,STALL→tier1→2 d_max=9
EC_n080_035_a25_103,EC,80,0.25,4,3,1585.0,1592,0.4396984924623116,1,90.08303279988468,366.4749990000855,TIERS_EXHAUSTED
C_n065_018_a75_054,C,65,0.75,1,0,2146.0,2146,0.0,1,9.472778300056234,9.47282709996216,UB_STOP
EC_n065_018_a75_054,EC,65,0.75,1,0,2146.0,2146,0.0,1,3.2260016000363976,3.2260549999773502,UB_STOP
ED_n040_001_a75_003,ED,40,0.75,1,0,1201.0,1201,0.0,1,67.46123949997127,67.4613908000756,UB_STOP
D_n040_001_a75_003,D,40,0.75,1,0,1203.0,1202,0.0,0,0.0,0.0,UB_PROVEN_INIT
EB_n100_001_a25_001,EB,100,0.25,1,0,1609.0,1611,0.12414649286157665,1,91.26616950007156,91.26621679984964,OBJ+32 tier->0
EB_n100_001_a25_001,EB,100,0.25,2,1,1609.0,1611,0.12414649286157665,1,90.0586627998855,181.3249335999135,STALL→tier0→1 d_max=8
EB_n100_001_a25_001,EB,100,0.25,3,2,1609.0,1611,0.12414649286157665,1,90.1198982000351,276.57244689995423,STALL→tier1→2 d_max=11
EB_n100_001_a25_001,EB,100,0.25,4,2,1609.0,1610,0.062111801242236024,1,90.0321579000447,368.52545819990337,UB_TIGHT→GAP<0.3%
B_n100_001_a75_003,B,100,0.75,1,0,3118.0,3119,0.032061558191728116,1,90.67002029996365,90.67004030011594,OBJ+4 tier->0
ED_n060_023_a75_069,ED,60,0.75,1,0,1992.0,2002,0.4995004995004995,1,95.8128321999684,95.81287789996713,OBJ+1 tier->0
ED_n060_023_a75_069,ED,60,0.75,2,1,1992.0,2002,0.4995004995004995,1,92.9471231000498,188.7600791999139,STALL→tier0→1 d_max=12
