instance,family,n,alpha,lb_incumbent,bks,method,upper_bound,gap_pct,runtime_s,iterations,invalid_vs_lb,invalid_vs_bks,extra
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,cutLR_pair_warm_100,3119.000000010635,3.40980323666094e-10,5.041866499988828,200,False,False,base_ub=3119.0000020708853;cut_ub=3119.000000010635;cap_cuts=54;incomp_cuts=0;pos_gamma=1;pos_nu=0
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,cutLR_triple_warm_100,3119.000000010635,3.40980323666094e-10,5.000586099980865,200,False,False,base_ub=3119.0000020708853;cut_ub=3119.000000010635;cap_cuts=54;incomp_cuts=0;pos_gamma=1;pos_nu=0
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,LR_100,4334.618678076473,0.03734303284069187,13.627271900011692,100,False,False,hist_len=100
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,LR_200_cold,4334.274203845233,0.029398321040762794,27.336165399989113,200,False,False,hist_len=200
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,LR_100_plus_LR_100,4334.2600310816615,0.029071423325449507,27.466535400017165,200,False,False,base_ub=4334.618678076473;cont_ub=4334.2600310816615
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,cutLR_cap_warm_100,4334.180390927324,0.02723446697776735,27.721627600025386,200,False,False,base_ub=4334.618678076473;cut_ub=4334.180390927324;cap_cuts=55;incomp_cuts=0;pos_gamma=3;pos_nu=0
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,cutLR_pair_warm_100,4334.180390927324,0.02723446697776735,27.734562400029972,200,False,False,base_ub=4334.618678076473;cut_ub=4334.180390927324;cap_cuts=55;incomp_cuts=0;pos_gamma=3;pos_nu=0
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,cutLR_triple_warm_100,4334.180390927324,0.02723446697776735,28.079717500018887,200,False,False,base_ub=4334.618678076473;cut_ub=4334.180390927324;cap_cuts=55;incomp_cuts=0;pos_gamma=3;pos_nu=0
B_n150_030_a75_090,B,150,0.75,5281.0,,LR_100,5282.657588686741,0.03137793163598485,5.8788715999689884,100,False,False,hist_len=100
B_n150_030_a75_090,B,150,0.75,5281.0,,LR_200_cold,5282.2023511051,0.022762306802742226,12.317529099993408,200,False,False,hist_len=200
B_n150_030_a75_090,B,150,0.75,5281.0,,LR_100_plus_LR_100,5282.604088246933,0.03036548301058925,11.39525279996451,200,False,False,base_ub=5282.657588686741;cont_ub=5282.604088246933
B_n150_030_a75_090,B,150,0.75,5281.0,,cutLR_cap_warm_100,5282.261468506277,0.023881220454501962,11.572530999954324,200,False,False,base_ub=5282.657588686741;cut_ub=5282.261468506277;cap_cuts=55;incomp_cuts=0;pos_gamma=7;pos_nu=0
B_n150_030_a75_090,B,150,0.75,5281.0,,cutLR_pair_warm_100,5282.261468506277,0.023881220454501962,11.613296899944544,200,False,False,base_ub=5282.657588686741;cut_ub=5282.261468506277;cap_cuts=55;incomp_cuts=0;pos_gamma=7;pos_nu=0
B_n150_030_a75_090,B,150,0.75,5281.0,,cutLR_triple_warm_100,5282.261468506277,0.023881220454501962,11.396689099958166,200,False,False,base_ub=5282.657588686741;cut_ub=5282.261468506277;cap_cuts=55;incomp_cuts=0;pos_gamma=7;pos_nu=0
C_n050_001_a25_001,C,50,0.25,735.0,735.0,LR_100,738.2338393938601,0.4380508209316551,0.18410200002836064,100,False,False,hist_len=100
C_n050_001_a25_001,C,50,0.25,735.0,735.0,LR_200_cold,735.0476790842323,0.006486529457749105,0.38309279998065904,200,False,False,hist_len=200
C_n050_001_a25_001,C,50,0.25,735.0,735.0,LR_100_plus_LR_100,735.0642138767123,0.008735818653670941,0.369295000040438,200,False,False,base_ub=738.2338393938601;cont_ub=735.0642138767123
C_n050_001_a25_001,C,50,0.25,735.0,735.0,cutLR_cap_warm_100,735.0177672895264,0.0024172598700506844,0.3635720000602305,200,False,False,base_ub=738.2338393938601;cut_ub=735.0177672895264;cap_cuts=39;incomp_cuts=0;pos_gamma=3;pos_nu=0
