instance,family,n,alpha,lb_incumbent,bks,LR_100,LR_100_plus_LR_100,LR_200_cold,cutLR_cap_warm_100,cutLR_pair_warm_100,cutLR_triple_warm_100,best_cutLR_method,best_cutLR_gap,best_cutLR_delta_vs_LR_100,best_cutLR_delta_vs_LR_200_cold,best_cutLR_delta_vs_LR_100_plus_LR_100,cutLR_cap_warm_100_delta_vs_LR200,cutLR_cap_warm_100_delta_vs_LR100_continue,cutLR_pair_warm_100_delta_vs_LR200,cutLR_pair_warm_100_delta_vs_LR100_continue,cutLR_triple_warm_100_delta_vs_LR200,cutLR_triple_warm_100_delta_vs_LR100_continue
EB_n130_016_a25_046,EB,130,0.25,2237.0,2237.0,2.5786562163568902,1.4051169900332152,1.376222110761529,0.9980806145216076,1.1185878132415954,1.1648437756721537,cutLR_cap_warm_100,0.9980806145216076,1.5805756018352826,0.3781414962399213,0.40703637551160765,0.3781414962399213,0.40703637551160765,0.2576342975199335,0.2865291767916198,0.2113783350893752,0.24027321436106153
EB_n130_016_a50_047,EB,130,0.5,4095.0,4096.0,0.260703689087749,0.0420765366500708,0.0420765366500708,0.0362256390882561,0.0362256390882561,0.0428987602709066,cutLR_cap_warm_100,0.0362256390882561,0.2244780499994929,0.0058508975618147,0.0058508975618147,0.0058508975618147,0.0058508975618147,0.0058508975618147,0.0058508975618147,-0.0008222236208357964,-0.0008222236208357964
EB_n130_016_a75_048,EB,130,0.75,4329.0,4308.0,0.1170855850634446,0.0880248480596775,0.082188799699369,0.0878655341335043,0.0878655341335043,0.0878655341335043,cutLR_cap_warm_100,0.0878655341335043,0.029220050929940303,-0.0056767344341353,0.00015931392617320184,-0.0056767344341353,0.00015931392617320184,-0.0056767344341353,0.00015931392617320184,-0.0056767344341353,0.00015931392617320184
EB_n150_030_a25_088,EB,150,0.25,2970.0,,1.9265593433767785,0.4855929790504658,0.448581297955012,0.4002649476801418,0.478565401878232,0.4628921200102179,cutLR_cap_warm_100,0.4002649476801418,1.5262943956966366,0.04831635027487019,0.08532803137032396,0.04831635027487019,0.08532803137032396,-0.029984103923219985,0.00702757717223379,-0.014310822055205896,0.022700859040247878
EB_n150_030_a50_089,EB,150,0.5,4920.0,,0.8374428587157345,0.5004871831056449,0.5004871831056449,0.4694890148197048,0.4694890148197048,0.438175162105986,cutLR_triple_warm_100,0.438175162105986,0.39926769660974853,0.06231202099965888,0.06231202099965888,0.030998168285940098,0.030998168285940098,0.030998168285940098,0.030998168285940098,0.06231202099965888,0.06231202099965888
EB_n150_030_a75_090,EB,150,0.75,5278.0,,0.0760786555630128,0.0732242871236058,0.0677294155600884,0.068612054274986,0.068612054274986,0.068612054274986,cutLR_cap_warm_100,0.068612054274986,0.0074666012880268,-0.0008826387148976045,0.004612232848619807,-0.0008826387148976045,0.004612232848619807,-0.0008826387148976045,0.004612232848619807,-0.0008826387148976045,0.004612232848619807
EC_n050_001_a25_001,EC,50,0.25,421.0,421.0,0.1170815111067449,0.0002846634197296,0.0001691764814635,9.731363774027938e-09,4.873020224102936e-09,4.873020224102936e-09,cutLR_pair_warm_100,4.873020224102936e-09,0.11708150623372468,0.0001691716084432759,0.0002846585467093759,0.00016916675009972598,0.00028465368836582593,0.0001691716084432759,0.0002846585467093759,0.0001691716084432759,0.0002846585467093759
EC_n050_001_a50_002,EC,50,0.5,1103.0,1103.0,2.697376898194714,0.452762690327888,0.4098868070018833,0.3072770341052925,0.328327378897655,0.1599768022912369,cutLR_triple_warm_100,0.1599768022912369,2.537400095903477,0.2499100047106464,0.2927858880366511,0.10260977289659079,0.14548565622259552,0.08155942810422828,0.12443531143023301,0.2499100047106464,0.2927858880366511
EC_n050_001_a75_003,EC,50,0.75,1444.0,1444.0,0.0687298123065302,0.0081937987532943,0.0061639091171199,0.0063577469688619,0.0063577469688619,0.0063577469688619,cutLR_cap_warm_100,0.0063577469688619,0.06237206533766831,-0.0001938378517419995,0.001836051784432401,-0.0001938378517419995,0.001836051784432401,-0.0001938378517419995,0.001836051784432401,-0.0001938378517419995,0.001836051784432401
EC_n065_018_a25_052,EC,65,0.25,1183.0,1183.0,0.5797766135431135,0.2750037057360201,0.2591391859560065,0.258523311407114,0.2357077233337815,0.2710224209345853,cutLR_pair_warm_100,0.2357077233337815,0.34406889020933196,0.02343146262222498,0.03929598240223861,0.0006158745488925033,0.016480394328906134,0.02343146262222498,0.03929598240223861,-0.011883234978578794,0.003981284801434837
EC_n065_018_a50_053,EC,65,0.5,1883.0,1883.0,1.8676352179401203,0.6706669123038572,0.6147332407610017,0.6068206395693106,0.6068206395693106,0.3931488508815764,cutLR_triple_warm_100,0.3931488508815764,1.474486367058544,0.22158438987942525,0.2775180614222808,0.007912601191691016,0.06384627273454657,0.007912601191691016,0.06384627273454657,0.22158438987942525,0.2775180614222808
EC_n065_018_a75_054,EC,65,0.75,2146.0,2146.0,9.320201646716187e-10,9.320201646716187e-10,9.320201646716187e-10,9.320201646716187e-10,9.320201646716187e-10,9.320201646716187e-10,cutLR_cap_warm_100,9.320201646716187e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC_n080_035_a25_103,EC,80,0.25,1585.0,,0.9652451612473724,0.5542193157670559,0.5542193157670559,0.4883511086424258,0.5603265738336125,0.4915454795869888,cutLR_cap_warm_100,0.4883511086424258,0.47689405260494655,0.06586820712463004,0.06586820712463004,0.06586820712463004,0.06586820712463004,-0.006107258066556653,-0.006107258066556653,0.06267383618006706,0.06267383618006706
EC_n080_035_a50_104,EC,80,0.5,2667.0,,2.379062763875759,1.0782655820795972,1.0495115766082257,1.00987314373699,1.00987314373699,0.6482594560183322,cutLR_triple_warm_100,0.6482594560183322,1.7308033078574265,0.40125212058989346,0.430006126061265,0.039638432871235585,0.06839243834260711,0.039638432871235585,0.06839243834260711,0.40125212058989346,0.430006126061265
EC_n080_035_a75_105,EC,80,0.75,2932.0,,0.0044526806117807,0.0004588748911969,0.0003923776190815,0.0004108425868321,0.0004108425868321,0.0004108425868321,cutLR_cap_warm_100,0.0004108425868321,0.0040418380249486,-1.8464967750600025e-05,4.8032304364799955e-05,-1.8464967750600025e-05,4.8032304364799955e-05,-1.8464967750600025e-05,4.8032304364799955e-05,-1.8464967750600025e-05,4.8032304364799955e-05
ED_n040_001_a25_001,ED,40,0.25,412.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,cutLR_cap_warm_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_n040_001_a50_002,ED,40,0.5,948.0,948.0,1.1001533197964095,0.0554526766059261,0.0492947813270001,0.0304121746066199,0.0381926805420871,0.0369879656149712,cutLR_cap_warm_100,0.0304121746066199,1.0697411451897896,0.018882606720380203,0.0250405019993062,0.018882606720380203,0.0250405019993062,0.011102100784913006,0.017259996063839003,0.012306815712028907,0.018464710990954904
ED_n040_001_a75_003,ED,40,0.75,1201.0,1201.0,7.708948785191616e-07,2.6258535728120517e-09,2.6258535728120517e-09,2.142329536963321e-09,2.142329536963321e-09,2.220007654390705e-09,cutLR_cap_warm_100,2.142329536963321e-09,7.687525489821983e-07,4.835240358487306e-10,4.835240358487306e-10,4.835240358487306e-10,4.835240358487306e-10,4.835240358487306e-10,4.835240358487306e-10,4.058459184213467e-10,4.058459184213467e-10
ED_n060_023_a25_067,ED,60,0.25,1050.0,1050.0,0.0951474785917957,0.0951474785917957,0.0951474785917957,0.0951474785917957,0.0951474785917957,0.0951474785917957,cutLR_cap_warm_100,0.0951474785917957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
